Sl No.,Bank Category,Name of the Bank,U,SU,R,Total,Deposits,Advances,CD Ratio,Total PSA,Percentage of PSA,Agri Adv.,Out of Agri. LS&MF,% of Agri,MSME,Out of MSME Micro,Export credit,Education,Housing,Renewable Energy,Social Infra,Others,WS Adv.,DRI,SC/ST,SHG's
1,State Bank goup,State Bank goup,6,8,13,27,17600500,12601231,72,12601231,100,5471905,2835952,43.42,1607606,633042,0,307162,5037906,0,19362,157290,3817618,1178,264007,5114
2,Nationalized Bank,Andhra Bank,1,1,1,3,165156,529231,320,443171,83.74,282645,63230,53.41,78583,21483,0,6600,75343,0,0,0,0,0,60,0
3,Nationalized Bank,Bank of Baroda,1,1,1,3,415851,578270,139,538715,93.16,335627,226027,58.04,72828,32737,0,12761,43700,0,0,73799,0,0,0,1832
4,Nationalized Bank,Bank of India,1,0,3,4,681715,1037516,152,837105,80.68,452523,116078,43.62,68069,12390,0,237586,78927,0,0,NA,12490,7065,51666,161557
5,Nationalized Bank,Canara Bank,1,3,7,11,2750300,4739900,172,4640700,97.91,3656000,1758300,77.13,530200,246800,0,219100,102800,0,0,132600,1843800,200,86700,58300
6,Nationalized Bank,Central Bank of India,1,1,2,4,471489,1734612,368,1581421,91.17,1066163,0,61.46,306543,72099,0,112109,96376,0,0,230,0,0,0,0
7,Nationalized Bank,Corporation Bank,1,4,4,9,1540577,2619030,170,2418976,92.36,1701658,1331723,64.97,485836,173198,0,111237,114741,0,0,5504,0,0,269657,47012
8,Nationalized Bank,Indian Bank,4,9,32,45,16144425,19252420,119,17944789,93.21,14604059,8188258,75.86,1359594,1049857,0,1219194,506293,0,72721,182928,9131833,457,664557,664443
9,Nationalized Bank,Indian Overseas Bank,3,8,10,21,5190600,4505600,87,3374100,74.89,2542600,1073200,56.43,733500,733500,0,687100,130500,0,0,0,21100,17000,12500,361400
10,Nationalized Bank,Union Bank of India,1,2,3,6,1764744,2127979,121,2024172,95.12,1300325,1278125,61.11,327339,248360,0,164495,138498,0,0,93515,843568,19,0,33370
11,Nationalized Bank,Syndicate Bank,1,1,0,2,410348,679030,165,603715,88.91,220255,179645,32.44,273956,273956,0,61320,48184,0,0,0,325372,0,0,NA
12,Nationalized Bank,Punjab National Bank,1,3,0,4,208649,534207,256,486376,91.05,358247,337793,67.06,101921,86157,0,21211,4994,0,0,3,356631,0,0,0
13,Nationalized Bank,UCO Bank,1,0,0,1,86600,135000,156,130300,96.52,58900,58900,43.63,59400,59400,0,2800,6900,0,0,2300,67200,0,31500,0
14,Nationalized Bank,IDBI Bank,1,1,0,2,294562,537500,182,211408,39.33,26295,21778,4.89,112721,0,0,2906,68314,0,0,1172,7284,0,6834,NA
15,Nationalized Bank,Vijaya Bank,1,1,1,3,202374,716000,354,109183,15.25,93125,99125,13.84,5300,5300,0,200,4558,0,0,0,NA,0,0,814
16,Nationalized Bank,Total,19,35,64,118,30327390,39726295,2761,35344131,88.97,26698422,14732182,67.21,4515790,3015237,0,2858619,1420128,0,72721,492051,12609278,24741,1123474,1328728
