#As on 31.07.2020 Tamil Nadu Gross State Value Added by economic activity at current prices (Rs. in lakh),url: http://mospi.nic.in/GSVA-NSVA - Source: Directorate of Economics and Statistics of the respective State/Uts.
S.No.,Item,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
1.,"Agriculture, forestry and fishing",8773221,8426467,10846228,12924022,13235403,13692560,16209892,17752432,21045379
1.1,Crops,5375639,4696012,6297031,7180913,7021598,5634803,7720780,8331222,10394881
1.2,Livestock,2617944,2959121,3714995,4672727,5051547,6522784,6830415,7655953,8753879
1.3,Forestry and logging,355528,338087,399307,390030,448449,696613,581832,636702,714453
1.4,Fishing and aquaculture,424110,433247,434895,680352,713808,838361,1076864,1128554,1182167
2.       ,Mining and quarrying,326843,317889,318743,267230,455822,523709,559526,637532,611007
,Primary,9100064,8744356,11164971,13191252,13691225,14216269,16769418,18389964,21656387
3.       ,Manufacturing,15176801,17826090,18141699,18218939,22055435,24975949,28197896,30554140,34892494
4.       ,"Electricity, gas, water supply & other utility services",795604,1267240,1306089,1688138,2161110,2555681,2947877,2582370,3205838
5.       ,Construction,9247221,10235643,11412163,11914451,12424622,13367262,14603779,16360896,18089138
,Secondary,25219626,29328973,30859951,31821528,36641167,40898892,45749552,49497406,56187469
6.       ,"Trade, repair, hotels and restaurants",7930219,9691628,11340541,12385486,12682316,14095331,16001355,18182644,20448571
6.1,Trade & repair services,6893400,8505165,9964677,10818940,11005222,12286236,14053270,15980679,17955062
6.2,Hotels & restaurants,1036819,1186463,1375864,1566546,1677094,1809095,1948085,2201966,2493509
7.       ,"Transport, storage, communication & services related to broadcasting",5337971,6145991,6723140,7201626,7694063,7912809,8223103,9213286,9853242
7.1,Railways,316093,370483,401663,474797,520403,571054,636480,682176,755622
7.2,Road transport,2866546,3309408,3581990,3657904,3709852,3825301,3975137,4700828,4902133
7.3,Water transport,66379,62574,59573,67219,62533,80955,85062,90871,101188
7.4,Air transport,43317,80632,62921,105964,173954,192212,189031,142674,165728
7.5,Services incidental to transport*,822307,951481,939475,989797,1047698,1045091,1070801,1084934,1175703
7.6,Storage,26961,28759,33162,34823,36867,38494,41616,45744,50500
7.7,Communication & services related to broadcasting,1196369,1342653,1644357,1871122,2142756,2159702,2224975,2466058,2702368
8.       ,Financial services,4019599,4466210,5103346,5719637,6009648,6172968,7391545,8141803,9095187
9.       ,"Real estate, ownership of dwelling & professional services",10253371,12044215,14245584,16968889,19001457,21401769,23477848,26676240,30049209
10.   ,Public administration,2598408,2572241,2962722,3452971,3394982,3792066,4124900,4717330,5188805
11.   ,Other services,4842953,5483555,6378181,7542922,8526551,9889776,11315957,13680628,15539054
,Tertiary,34982521,40403840,46753514,53271532,57309017,63264719,70534707,80611931,90174068
12.,TOTAL GSVA at basic prices,69302212,78477168,88778435,98284312,107641409,118379880,133053677,148499301,168017924
13.,Taxes on Products,8455881,10014105,10809451,11660868,12670115,14787416,16307724,18222189,19461465
14.,Subsidies on products,2609517,3008738,2734841,2677383,2661521,2903438,2856310,3700715,2894058
15.,Gross State Domestic Product,75148576,85482535,96853045,107267797,117650003,130263858,146505091,163020775,184585331
16.,Population ('00),724370,729350,734330,739300,744280,748410,751950,755480,759020
17.,Per Capita GSDP (Rs.),103743,117204,131893,145094,158072,174054,194834,215784,243189
