#Net District Domestic Product At Current Prices (Base year 2011-12) (Rs. in Lakhs),,,,,,,,,
#Source:tn.gov.in/deptst/stat.htm stateincome.pdf,,,,,,,,,
District,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,Region
STATE,27671080,31381220,35939099,43001256,52791219,67447835,76894553,85955576,
Chennai,2244789,2494438,2833288,3159878,3727986,6816706,7456355,8284423,Chennai
Kancheepuram,1490898,1699197,2093786,2545973,3286718,5212748,5869341,6262774,Chennai
Thiruvallur,1552922,1812683,2113950,2693895,3262973,4645301,5691954,6430974,Chennai
Vellore,1522681,1747075,1966392,2370953,2914297,3609322,4152623,4589297,North
Thiruvannamalai,617940,746023,825751,949787,1181167,1355865,1631571,1727766,North
Cuddalore,873883,988346,1143721,1382196,1666280,1849419,2164005,2529089,North
Villupuram,749250,874943,1009892,1215855,1458178,1811115,2099092,2600488,North
Thanjavur,754412,846931,970482,1089856,1317666,1581508,1783364,2108683,East
Nagapatinam,515317,514396,580730,703853,812617,1173708,1186799,1393427,East
Thiruvarur,316030,339755,372957,444987,473263,691731,643175,900800,East
Salem,1303829,1487120,1699095,1999667,2440916,3237319,3343163,3706149,West
Namakkal,812039,927023,1059079,1336830,1573778,2176522,2389572,2819252,West
Dharmapuri,517627,612758,701645,867397,1110661,1148665,1218840,1380073,North
Krishnagiri,666462,778108,931002,1167179,1492533,1975158,2291031,2591359,North
The Nilgiris,290459,319398,387099,458235,518398,608661,726901,815878,West
Tiruchirapalli,1151140,1329675,1572880,1936007,2307977,3229299,3585342,3986999,East
Karur,452380,490513,579010,707197,841296,1036893,1126376,1317555,East
Perambalur,90396,98283,111186,133541,159985,299233,290247,383261,East
Ariyalur,120751,126323,151175,174548,199953,432451,457683,562757,East
Pudukkotai,467697,523997,591847,711125,845182,1079251,1175517,1259083,West
Coimbatore,1577587,1839893,2063884,2448395,3141624,3735494,4516670,5175330,West
Thiruppur,1083139,1286716,1461189,1835617,2399759,2741309,3002714,3357411,West
Erode,1173971,1387015,1480962,1800962,2427788,2457835,2923482,3372087,West
Madurai,1252227,1304156,1505322,1748627,2135555,2477117,2828507,3248901,South
Theni,348566,378476,431871,524232,611940,843255,956178,1064579,South
Dindigul,772021,862649,993958,1174347,1456413,1648343,1858185,2015631,South
Ramanathapuram,420916,436025,505394,558367,662806,846818,941917,1001739,South
Sivagangai,373469,423406,499157,580346,713231,841792,1036145,1006794,South
Virudhunagar,1072810,1140581,1269993,1542824,1885958,1854688,2201814,2439701,South
Thirunelveli,1216242,1435829,1570180,1821501,2187908,2552793,3028823,3248767,South
Thoothukudi,899714,970889,1100391,1279833,1492282,1729155,2320365,2118841,South
Kanniyakumari,969517,1158598,1361829,1637246,2084130,1748360,1996803,2255708,South
