#Income Estimates Net District Domestic Product at constant prices Base year 2011-12 (Rs. in Lakhs)
#Source:tn.gov.in/deptst/stat.htm stateincome.pdf
District,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
STATE,25628576,27233984,28674358,31675987,35996050,67447835,70968261,75065392
Chennai,2135117,2259739,2378807,2486211,2751276,6816706,6982876,7432021
Thiruvallur,1438368,1572778,1687098,2008477,2257833,4645031,5267565,5660422
Kancheepuram,1399144,1503127,1709465,1953113,2352895,5212748,5451422,5542656
Coimbatore,1469195,1608311,1659260,1848985,2164599,3735494,4187660,4557714
Vellore,1401902,1507588,1573251,1772651,2027102,3609322,3830365,4019124
Tiruchirapalli,1074819,1169265,1284938,1453924,1631443,3229299,3308310,3483309
Salem,1201155,1284571,1351481,1446121,1635374,3237319,3065603,3224431
Erode,1085447,1176491,1141959,1230248,1449998,2457835,2694962,2942964
Thiruppur,1013367,1113951,1161791,1353233,1580012,2741309,2781294,2937061
Thirunelveli,1124537,1243554,1255728,1359275,1517622,2552793,2790810,2831183
Madurai,1171048,1151325,1227657,1339435,1524140,2477117,2583728,2809117
Namakkal,757015,801146,831596,924206,1023195,2176522,2219227,2465698
Krishnagiri,599924,653674,714359,834594,992295,1975158,2135143,2288604
Villupuram,686762,737249,772574,835231,925559,1811115,1916885,2219205
Cuddalore,808450,856815,891768,981047,1112182,1849419,1955462,2150653
Virudhunagar,994964,997538,1027957,1187342,1354198,1854688,2021040,2123183
Kanniyakumari,875983,982125,1055371,1168601,1365798,1748361,1834406,1966826
Thoothukudi,824873,837899,871074,945662,1032050,1729155,2146560,1835579
Thanjavur,711583,750019,793504,830500,937057,1581508,1624460,1803202
Dindigul,708217,738766,783670,853142,968088,1648343,1736189,1747312
Thiruvannamalai,562963,623534,644486,683379,783382,1355865,1486020,1487607
Nagapatinam,464663,437697,451507,497954,533334,1173707,1090399,1212112
Dharmapuri,465072,512110,538173,585967,685054,1148665,1127231,1185859
Karur,424119,436334,476006,535698,592727,1036893,1043343,1147490
Pudukkotai,428177,448048,463299,510463,564856,1079251,1073532,1092122
Theni,315697,320840,335180,358970,380763,843255,869988,896232
Ramanathapuram,386131,374312,393281,406134,451733,846818,873754,878726
Sivagangai,352180,377722,408267,440452,504204,841792,952801,874889
Thiruvarur,295157,292158,297225,321101,328239,691731,584453,751218
The Nilgiris,261854,278219,295813,320441,353205,608661,641069,689979
Ariyalur,110203,106811,115740,118243,123128,432451,426956,488212
Perambalur,80490,80268,82072,85185,92709,299233,264752,320682
