#Group,Detail,Sub-detail,Desc
1,00,00,Central Receipts
1,01,00,Share in Central Taxes
1,01,01,Corporation Tax
1,01,02,Taxes other than Corporation Tax
1,01,03,Income and Expenditure Tax
1,01,04,Wealth Tax
1,01,05,Customs
1,01,06,Union Excise Duties
1,01,07,Service Tax
1,01,08,Other Taxes and Duties
1,01,09,Goods and Services Tax (GST)
1,09,00,Finance Commission Grants
1,09,01,Finance Commission Grants for Panchayati Raj Institutions - Rural
1,09,02,Finance Commission Grants for Panchayati Raj Institutions - Urban
1,09,03,Finance Commission Grants for State Disaster Response Fund
1,10,00,National Disaster Response Fund
1,10,01,Flood
1,10,02,Drought
1,10,03,Cyclone
1,10,04,Earthquake
1,10,05,Tsunami
1,11,00,Compensation in lieu of Tax Losses
1,11,01,Value Added Tax (VAT)
1,11,02,Central Sales Tax (CST)
1,11,03,Goods and Services Tax (GST)
1,12,00,NITI AAYOG/ Planning Commission Grants
1,12,01,General
1,13,00,Agriculture
1,13,01,Indivisible - Capital Grants
1,13,05,Indivisible - Current Grants
1,13,21,General Category - Capital Grants
1,13,25,General Category - Current Grants
1,13,41,Scheduled Castes - Capital Grants
1,13,45,Scheduled Castes - Current Grants
1,13,61,Scheduled Tribes - Capital Grants
1,13,65,Scheduled Tribes - Current Grants
1,14,00,Horticulture
1,14,01,Indivisible - Capital Grants
1,14,05,Indivisible - Current Grants
1,14,21,General Category - Capital Grants
1,14,25,General Category - Current Grants
1,14,41,Scheduled Castes - Capital Grants
1,14,45,Scheduled Castes - Current Grants
1,14,61,Scheduled Tribes - Capital Grants
1,14,65,Scheduled Tribes - Current Grants
1,15,00,Animal Husbandry
1,15,01,Indivisible - Capital Grants
1,15,05,Indivisible - Current Grants
1,15,21,General Category - Capital Grants
1,15,25,General Category - Current Grants
1,15,41,Scheduled Castes - Capital Grants
1,15,45,Scheduled Castes - Current Grants
1,15,61,Scheduled Tribes - Capital Grants
1,15,65,Scheduled Tribes - Current Grants
1,16,00,Dairy Development
1,16,01,Indivisible - Capital Grants
1,16,05,Indivisible - Current Grants
1,16,21,General Category - Capital Grants
1,16,25,General Category - Current Grants
