head,desc,2018,2019Est,2019Rev,2020Est
0005-00,CENTRAL GOODS AND SERVICES TAX (CGST),,,,
901,Share of net proceeds assigned to States,"7,561,77,28","10,283,57,00","7,901,68,00","9,942,63,00"
0005,Total 0005,"7,561,77,28","10,283,57,00","7,901,68,00","9,942,63,00"
0006-00,STATE GOODS AND SERVICES TAX (SGST),,,,
101,Tax,"21,052,86,86","24,137,21,74","23,603,14,66","26,773,12,76"
102,Interest,"36,80,41","33,09,77","67,40,54","75,90,21"
103,Penalty,"4,08,56","66,69","7,67,34","8,74,77"
104,Fees,"173,82,15","198,14,78","162,51,41","185,26,61"
105,Input Tax Credit cross utilisation of SGST and IGST,"11,359,49,62","15,959,57,61","14,148,04,08","16,128,76,85"
106,Apportionment of IGST-Transfer-in of Tax Component to SGST,"1,327,24,93","1,608,71,02","1,520,23,11","1,733,06,35"
107,Apportionment of IGST-Transfer-in of Interest Component to SGST,,1,,
108,Apportionment of IGST-Transfer-in of Penalty Component to SGST,,1,,
109,Sale proceeds of confiscated Goods,,2,,
110,Advance apportionment from IGST,"4,582,01,79","6,227,34,08","4,708,76,68","1,290,04,41"
500,Receipts awaiting transfer to other Minor Heads,,"69,32","52,86","56,03"
800,Other Receipts,"- 3,24,91","- 8,05,37","6,92","7,33"
0006,Total 0006,"38,533,09,41","48,157,39,68","44,218,37,60","46,195,55,32"
0008-00,INTEGRATED GOODS AND SERVICES TAX (IGST),,,,
901,Share of net proceeds assigned to States,,"603,50,00",,
0008,Total 0008,"603,50,00",,,
0020-00,CORPORATE TAX,,,,
901,Share of net proceeds assigned to States,"10,654,53,06","11,003,97,00","8,998,76,00","10,104,36,00"
0020,Total 0020,"10,654,53,06","11,003,97,00","8,998,76,00","10,104,36,00"
0021-00,TAXES ON INCOME OTHER THAN CORPORATE TAX,,,,
901,Share of net proceeds assigned to States,"7,846,61,59","9,245,43,00","7,051,13,00","9,395,25,00"
0021,Total 0021,"7,846,61,59","9,245,43,00","7,051,13,00","9,395,25,00"
0022-00,TAXES ON AGRICULTURAL INCOME,,,,
101,Tax Collections,"10,22","14,45","14,45","15,17"
0022,Total 0022,"10,22","14,45","14,45","15,17"
0028-00,OTHER TAXES ON INCOME AND EXPENDITURE,,,,
901,Share of net proceeds assigned to States,"55,49,00",,,
0028,Total 0028,"55,49,00",,,
0029-00,LAND REVENUE,,,,
101,Land Revenue / Tax,"19,32,73","14,16,17","14,90,86","15,65,41"
104,Receipts from Management of Ex-Zamindari Estates,"8,10","40,83","46,95","53,99"
107,Sale proceeds of Waste Lands and Redemption of Land Tax,"96,42,02","189,17,96","203,88,40","248,23,12"
501,Services and Service Fees,"5,13",1,"2,46","2,58"
800,Other Receipts,"62,10,58","153,53,81","59,56,08","63,93,43"
0029,Total 0029,"177,98,56","357,28,78","278,84,75","328,38,53"
0030,STAMPS AND REGISTRATION FEES,,,,
01,STAMPS - JUDICIAL,,,,
101,Court Fees realised in Stamps,"149,35,23","158,06,69","158,06,69","173,87,36"
102,Sale of Stamps,"29,96,16","17,32,15","17,32,15","19,05,36"
800,Other Receipts,"4,15,52","5,36,12","5,36,12","5,89,73"
01,Total 01,"183,46,91","180,74,96","180,74,96","198,82,45"
02,STAMPS - NON-JUDICIAL,,,,
102,Sale of Stamps,"2,657,17,29","3,333,30,94","3,333,30,94","3,666,64,03"
103,Duty on Impressing of Documents,"4,190,59,70","4,616,20,63","4,616,20,63","5,077,82,70"
800,Other Receipts,"4,77,28","4,84,25","4,84,25","5,32,68"
901,Deduct - Payments to Local Bodies of net proceeds on duty levied by them on Transfer of Property,"27,83,08",1,- 1,1
02,Total 02,"6,880,37,35","7,954,35,83","7,954,35,81","8,749,79,42"
03,REGISTRATION FEES,,,,
104,Fees for registering documents,"3,751,32,41","4,687,11,94","4,687,11,94","5,155,83,14"
800,Other Receipts,"251,01,45","300,57,85","300,57,85","330,63,64"
03,Total 03,"4,002,33,86","4,987,69,79","4,987,69,79","5,486,46,78"
0030,Total 0030,"11,066,18,12","13,122,80,58","13,122,80,56","14,435,08,65"
0032-00,TAXES ON WEALTH,,,,
901,Share of net proceeds assigned to States,"3,92,06","- 30,00","39,00","- 33,00"
0032,Total 0032,"3,92,06","- 30,00","39,00","- 33,00"
0035-00,TAXES ON IMMOVABLE PROPERTY OTHER THAN AGRICULTURAL LAND,,,,
101,Ordinary Collections,"10,33,99","13,65,00","13,00,00","13,65,00"
0035,Total 0035,"10,33,99","13,65,00","13,00,00","13,65,00"
0037-00,CUSTOMS,,,,
901,Share of net proceeds assigned to States,"2,171,71,00","2,135,06,00","1,672,92,00","2,050,31,00"
0037,Total 0037,"2,171,71,00","2,135,06,00","1,672,92,00","2,050,31,00"
0038,UNION EXCISE DUTIES,,,, 
01,Shareable Duties,,,,
901,Share of net proceeds assigned to States,"1,443,22,03","1,310,74,00","767,95,00","1,339,60,00"
01,Total 01,"1,443,22,03","1,310,74,00","767,95,00","1,339,60,00"
