District Code,District Name,Block Code,Block Name
1,KANCHEEPURAM,1,KANCHEEPURAM
1,KANCHEEPURAM,2,WALAJABAD
1,KANCHEEPURAM,3,UTHIRAMERUR
1,KANCHEEPURAM,4,SRIPERUMBUDUR
1,KANCHEEPURAM,5,KUNDRATHUR
1,KANCHEEPURAM,6,THIRUPORUR
1,KANCHEEPURAM,7,KATTANKOLATHUR
1,KANCHEEPURAM,8,THIRUKALUKUNDRAM
1,KANCHEEPURAM,9,THOMAS MALAI
1,KANCHEEPURAM,10,ACHARAPAKKAM
1,KANCHEEPURAM,11,MADURANTAKAM
1,KANCHEEPURAM,12,LATHUR
1,KANCHEEPURAM,13,CHITHAMUR
2,TIRUVALLUR,1,VILLIVAKKAM
2,TIRUVALLUR,2,PUZHAL
2,TIRUVALLUR,3,MINJUR
2,TIRUVALLUR,4,SHOLAVARAM
2,TIRUVALLUR,5,GUMMIDIPOONDI
2,TIRUVALLUR,6,TIRUVALANGADU
2,TIRUVALLUR,7,TIRUTTANI
2,TIRUVALLUR,8,PALLIPET
2,TIRUVALLUR,9,R.K.PET
2,TIRUVALLUR,10,TIRUVALLUR
2,TIRUVALLUR,11,POONDI
2,TIRUVALLUR,12,KADAMBATHUR
2,TIRUVALLUR,13,ELLAPURAM
2,TIRUVALLUR,14,POONAMALLEE
3,CUDDALORE,1,CUDDALORE
3,CUDDALORE,2,ANNAGRAMAM
3,CUDDALORE,3,PANRUTI
3,CUDDALORE,4,KURINJIPADI
3,CUDDALORE,5,KATTUMANNAR KOIL
3,CUDDALORE,6,KUMARATCHI
3,CUDDALORE,7,KEERAPALAYAM
3,CUDDALORE,8,MELBHUVANAGIRI
3,CUDDALORE,9,PARANGIPETTAI
3,CUDDALORE,10,VRIDHACHALAM
3,CUDDALORE,11,KAMMAPURAM
3,CUDDALORE,12,NALLUR
3,CUDDALORE,13,MANGALUR
4,VILLUPURAM,1,TIRUKOILUR
4,VILLUPURAM,2,MUGAIYUR
4,VILLUPURAM,3,T.V. NALLUR
4,VILLUPURAM,4,TIRUNAVALUR
