District,Code,HQ,FormationDate,FormedFrom,Area,Population,Density,Taluks
Ariyalur,AR,Ariyalur,23 November 2007,Perambalur,1949.31,754894,390,"Andimadam,Ariyalur,Udayarpalayam,Sendurai"
Chengalpattu,CGL,Chengalpattu,29 November 2019,Kanchipuram,2944.96,2556244,868,"Chengalpattu,Cheyyur,Madurantakam,Pallavaram,Tambaram,Thiruporur,Thirukazhukundram,Vandalur"
Chennai,CH,Chennai,1 November 1956,One of the original 13 districts (under former name of "Madras District"),426,4646732,26076,"Alandur,Ambattur,Aminjikarai,Ayanavaram,Egmore,Guindy,Madhavaram,Maduravoyal,Mambalam,Mylapore,Perambur,Purasawalkam,Sholinganallur,Tiruvottiyur,Tondiarpet,Velachery"
Coimbatore,CO,Coimbatore,1 November 1956,One of the original 13 districts,4723,3458045,732,"Anaimalai,Annur,Coimbatore-North,Coimbatore-South,Kinathukadavu,Madukkarai,Mettupalayam,Perur,Pollachi,Sulur,Valparai"
Cuddalore,CU,Cuddalore,30 September 1993,South Arcot District,3678,2605914,709,"Bhuvanagiri,Chidambaram,Cuddalore,Kattumannarkoil,Kurinjipadi,Panruti,Srimushnam,Titakudi,Veppur,Vriddachalam"
Dharmapuri,DH,Dharmapuri,2 October 1965,Salem,"4,497.77","15,06,843",335,"Dharmapuri,Harur,Karimangalam,Nallampalli,Palacode,Pappireddipatti,Pennagaram"
Dindigul,DI,Dindigul,15 September 1985,Madurai,6266.64,2159775,345,"Athoor,Dindigul-West,Dindigul-East,Gujiliamparai,Kodaikanal,Natham,Nilakottai,Oddanchattiram,Palani,Vedasandur"
Erode,ER,Erode,31 August 1979,Coimbatore,5722,2251744,394,"Anthiyur,Bhavani,Erode,Gobichettipalayam,Kodumudi,Modakurichi,Nambiyur,Perundurai,Sathyamangalam,Thalavadi"
Kallakurichi,KL,Kallakurichi,26 November 2019,Viluppuram,3520.37,1370281,389,"Chinnasalem,Kallakkurichi,Kalvarayan Hills,Sankarapuram,Thirukoilur,Ulundurpet"
Kanchipuram,KC,Kanchipuram,1 July 1997,Chingleput,1655.94,1166401,704,"Kanchipuram,Kundrathur,Sriperumbudur,Uthiramerur,Walajabad"
