#Name,LatLong,Type,District,wikidata_desc,wikidata_id,alt_spelling,alt_id
Alandur,13.003;80.204,Municipality Selection grade,Chennai,human settlement,Q584845
Ambasamudram,8.7;77.47,Municipality Second grade,Tirunelveli,human settlement,Q590143
Ambur,12.78;78.7,Municipality Selection grade,Vellore,"town in the Vellore district of Tamil Nadu, India",Q584854
Anakaputhur,12.9828;80.1264,Municipality Second grade,Chennai,human settlement,Q582417
Arakkonam,13.07777778;79.66666667,Municipality First grade,Vellore,"mid-sized town in Vellore, Tamil Nadu, India",Q584823
Arani,12.67;79.28,Municipality First grade,Tiruvallur,town and municipality in India,Q581497
Aranthangi,10.1631;78.9962,Municipality First grade,Pudukkottai,human settlement,Q584889
Arcot,12.99;79.314,Municipality First grade,Vellore,town,Q589185
Ariyalur,11.13722222;79.07777778,Municipality Second grade,Ariyalur,"village in Tamil Nadu, India",Q4791175,"Ariyalur, Chennai",Q30595228
Aruppukkottai,9.51;78.1,Municipality First grade,Virudhunagar,human settlement,Q584327
Attur,11.599341;78.597752,Municipality Selection grade,Salem,"town in Salem district of Tamil Nadu, India",Q282637
Avadi,13.12;80.1,Municipality Special grade,Thiruvallur,"suburb of Chennai and a municipality in Thiruvallur district in the state of Tamil Nadu, India",Q584494,Avadi Municipal Corporation,Q58942512
Bhavani,11.45;77.68,Municipality Second grade,Erode,"human settlement in Tamil Nadu, India",Q1749241
Bodinayakanur,10.02;77.35,Municipality First grade,Theni,human settlement,Q859153,Bodinayakkanur
Chengalpattu,12.68333333;79.98333333,Municipality First grade,Kancheepuram,suburb of Chennai,Q888769
Chennai,13.08333333;80.26666667,Muni Corporation,"Chennai, Kanchipuram and Tiruvallur",capital city of the Indian state of Tamil Nadu,Q1352
Chidambaram,11.4;79.7,Municipality Selection grade,Cuddalore,"town in Tamil Nadu, India",Q155332
Chinnamanur,9.83;77.38,Municipality Second grade,Theni,human settlement,Q1104025
Coimbatore,11.01833333;76.9725,Muni Corporation,Coimbatore,"City located in Tamil Nadu, India",Q9885
