Name,Batch,Domicile,Cadre,Age,Desig,Current Dept,Gender,Edu,Pay Matrix,ID,Appointed,Path,DOB,EasyNicIn PresentPost,With Effect From,url
Shri Otem Dai,1987,Arunachal Pradesh,TN,58,Additional Chief Secretary,Adi Dravidar and Tribal Welfare ,M,"B.A.(Political Sc.),M.B.A.",Level 17 ,031500,24/08/1987,,30/01/1962,"Additional Chief Secretary to Government, AD & TW Deptt., Chennai",24/11/2017,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=14912&PageId=
Shri Gagandeep Singh Bedi,1993,Punjab,TN,51,Agricultural Production Commissioner and Principal Secretary to Government,Agriculture ,M,B.E.(Electronics),Level 15 ,036000,05/09/1993,,09/09/1968,"Agril Production Commr & Prl Secy,, Agriculture Deptt, Chennai",09/06/2016,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15509&PageId=
Dr. K Gopal,1992,Andhra Pradesh,TN,53,Principal Secretary,"Animal Husbandry, Dairying and Fisheries ",M,M.B.B.S.,Level 15 ,035800,11/10/1992,,10/08/1966,"Principal Secretary to Government, Animal Husbandry, Dairy Dev & Fisheries Deptt, Chennai",24/08/2017,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15394&PageId=
Dr. B Chandra Mohan,1995,Karnataka,TN,50,Principal Secretary,"BC, MBC & Minorities Welfare ",M,M.B.B.S.Graduate(Env. Sci.),Level 15 ,037601,03/09/1995,,31/10/1969,"Prl Secry / Chairman & M.D,, Handicrafts Dev Corpn, Chennai",25/08/2018,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15701&PageId=
Shri Ka Balachandran,1994,Tamil Nadu,TN,59,Principal Secretary,Commercial Taxes and Registration ,M,"M.Sc.,M.A.(Governance & Dev.)",Level 15 ,036913,27/10/1998,,10/06/1960,"Principal Secretary to Government, CT & Registration Dept., Chennai",08/03/2018,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15583&PageId=
Shri Dayanand Kataria,1989,Haryana,TN,57,Additional Chief Secretary,"Co-operation, Food and Consumer Protection ",M,"B.A.,LL.B.",Level 15 ,032900,21/08/1989,,17/09/1962,"Principal Secretary to Government, CF&CP; Deptt, Chennai",24/08/2018,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15130&PageId=
Shri A Karthik,1996,Tamil Nadu,TN,45,Principal Secretary,"Energy , Highways and Minor Ports ",M,"M.P.A.,B.Com.",Level 14 ,037700,06/09/1996,,07/07/1974,"Secretary to Government, BC, MBC & Minorities Welfare Deptt, Chennai",18/06/2016,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15782&PageId=
Shri Shambhu Kallolikar,1991,Karnataka,TN,56,Principal Secretary,Environment and Forests ,M,M.A.(Intnl Relations),Level 15 ,034802,15/09/1991,,19/09/1963,"Principal Secretary to Government, Environment & Forest Department, Chennai",27/08/2018,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15326&PageId=
Shri S Krishnan,1989,Tamil Nadu,TN,52,Additional Chief Secretary,Finance ,M,"B.A.(Hons)(History),M.A.(Economics)",Level 15 ,032500,21/08/1989,,29/06/1967,"Principal Secretary to Government, Housing & Urban Dev Deptt, Chennai",26/10/2017,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15126&PageId=
Shri Pradeep Yadav,1992,Uttar Pradesh,TN,53,Principal Secretary(FAC),"Handlooms, Handicrafts, Textiles and Khadi ",M,"B.Tech(Chem. Engg),M.Tech(Mgmt & System)",Level 15 ,035300,11/10/1992,,01/06/1967,"Principal Secretary to Government, School Edu Deptt, Chennai",26/08/2017,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15389&PageId=
Dr. Beela Rajesh,1997,Tamil Nadu,TN,50,Secretary,Health and Family Welfare ,F,M.B.B.S.(Medicine),Level 14 ,046700,21/04/1998,,15/11/1969,"Commissioner , Indian Medicine & Homeopathy, Chennai",24/12/2018,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15906&PageId=
Ms. Apoorva ,1994,Tamil Nadu,TN,55,Principal Secretary,Higher Education ,F,"M.A.(History),M.Phil",Level 15 ,036900,16/12/1994,,18/01/1965,"Prl Secy/CMD, Small Industries Dev Corpn Ltd (SIDCO), Chennai",04/03/2017,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15582&PageId=
Shri S K Prabakar,1989,Tamil Nadu,TN,54,Additional Chief Secretary,"Home, Prohibition and Excise ",M,"B.E.(Electrical Engg.),M.Tech(Power Sys Engg)",Level 15 ,032600,21/08/1989,,15/01/1966,"Principal Secretary to Government, Public Works Deptt (PWD), Chennai",18/06/2016,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15127&PageId=
Shri Rajesh Lakhoni,1992,Chhattisgarh,TN,50,Principal Secretary,Housing and Urban Development ,M,"B.E.(Electronics),M.Tech(Commn.Engg)",Level 15 ,035400,11/10/1992,,26/05/1969,"Prl Secy/Member Secy, CMDA, Chennai",12/03/2018,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15390&PageId=
Shri N Muruganandam,1991,Tamil Nadu,TN,52,Principal Secretary,Industries ,M,"B.E.(Comp. Sci.),M.B.A.(Business Admn)",Level 15 PRC-II,034400,16/09/1991,,23/12/1967,"Principal Resident Commr., Tamil Nadu House, New Delhi",23/01/2017,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15322&PageId=
Shri Hans Raj Verma,1986,Rajasthan,TN,55,Additional Chief Secretary(FAC),Information Technology ,M,M.M.S.(Management),Level 17 ,030600,28/08/1986,,30/05/1964,"Additional Chief Secretary to Government, Rural Dev & Panchayat Raj Department, Chennai",06/04/2017,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=14777&PageId=
Shri Md Nasimuddin,1989,Bihar,TN,57,Additional Chief Secretary,Labour and Employment ,M,"M.A.(History),M.B.A.(History)",Level 15 ,032800,21/08/1989,,03/12/1963,"Principal Secretary to Government, Energy Deptt, Chennai",27/08/2018,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15129&PageId=
Dr. Rajendra Kumar,1992,Bihar,TN,53,Principal Secretary,"Micro ,Small and Medium Enterprises ",M,"M.Tech(Mgmt & System),PhD(Economic Dev.)",Level 15 ,035500,11/10/1992,,03/01/1967,"Prl Secy / Industries Commr & Dir,, Industries & Commerce, Chennai",28/08/2017,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15391&PageId=
Dr.(Smt.) S Swarna,1997,Tamil Nadu,TN,48,Secretary,Personnel and Administrative Reforms,F,B.D.S.(Dentistry),Level 14 ,038200,07/09/1997,,26/07/1971,"Secretary to Government, Personnel & AR Deptt, Chennai",18/06/2016,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15919&PageId=
Dr. P Senthilkumar ,1995,Tamil Nadu,TN,51,Principal Secretary(FAC),Public Department,M,"PhD,M.Sc.(Agri.)",Level 15 ,037400,03/09/1995,,15/07/1968,"Secretary / Prl Sery-III to Chief Minister, Chief Minister's Office, Chennai",02/08/2017,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15698&PageId=
Dr. K Manivasan,1993,Tamil Nadu,TN,53,Principal Secretary,Public Works ,M,M.B.B.S.,Level 15 ,036400,05/09/1993,,02/07/1967,"Principal Secretary to Government, Social Welfare and Nutritious Meal Prog. Deptt., Chennai",18/06/2016,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15513&PageId=
Shri Atulya Mishra,1988,Uttar Pradesh,TN,54,Additional Chief Secretary,Revenue and Disaster Management ,M,"M.Sc.(Botany),Certificate(Public Policy)",Level 15 ,031900,25/08/1988,,13/12/1965,"Principal Secretary to Government, Revenue & Disaster Management Department, Chennai",04/03/2018,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=14994&PageId=
Shri Dheeraj Kumar,1993,Bihar,TN,50,Principal Secretary,"School Education ,Youth Welfare and Sports Development ",M,B.Tech(Civil Engg),Level 15 ,036300,05/09/1993,,01/06/1970,"Principal Secretary to Government, Youth Welfare & Sports Dev Deptt, Chennai",01/06/2017,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=15512&PageId=
Smt. S. Madhumathi,2003,,TN,53,Secretary,Social Welfare and Nutritious Meal Programme,F,M.Sc.,Level 13 ,808005,24/02/2009,,28/01/1967,"Commissioner , Civil Supplies & Consumers Protection, Chennai",08/09/2016,https://supremo.nic.in/ERSheetHtml.aspx?OffIDErhtml=16699&PageId=
