colno,full,Name,Sex,start,end,Days
40 ,Tmt. P. Uma Maheswari I.A.S. ,P. Uma Maheswari,Female,18.02.2019 ,Till Date,
39 ,Thiru. S. Ganesh I.A.S. ,S. Ganesh,Male,25.05.2016 ,18.02.2019,32
38 ,Dr.S.Swarna I.A.S. ,S.Swarna,Female,01.05.2016 ,23.05.2016,0
37 ,Thiru. S. Ganesh I.A.S. ,S. Ganesh,Male,19.11.2014 ,01.05.2016,17
36 ,Thiru. C. Manoharan I.A.S. ,C. Manoharan,Male,06.10.2012 ,18.11.2014,25
35 ,Tmt. V. Kalaiarasi I.A.S. ,V. Kalaiarasi,Female,16.04.2012 ,04.10.2012,5
34 ,Tmt. B. Maheshwari I.A.S. ,B. Maheshwari,Female,06.06.2011 ,16.04.2012,10
33 ,"Tmt. A. Suganthi, I.A.S. ",A. Suganthi,Female,18.06.2009 ,05.06.2011,23
32 ,"Tmt. Reeta Harish Thakkar, I.A.S. ",Reeta Harish Thakkar,Female,06.06.2008 ,13.06.2009,12
31 ,"Thiru. D. Uthirakkumaran, I.A.S. ",D. Uthirakkumaran,Male,07.10.2007 ,31.05.2008,7
30 ,"Thiru. Shunchonngam Jatak Chiru, I.A.S. ",Shunchonngam Jatak Chiru,Male,29.05.2006 ,06.10.2007,16
29 ,"Thiru. P.Sonai, I.A.S. ",P.Sonai,Male,24.10.2005 ,26.05.2006,7
28 ,"Thiru. R.Thiagarajan, I.A.S. ",R.Thiagarajan,Male,20.02.2005 ,20.10.2005,8
27 ,"Thiru. Jatindranath Swain, I.A.S. ",Jatindranath Swain,Male,06.06.2004 ,19.02.2005,8
26 ,"Thiru. Hitesh Kumar S.Makwana, I.A.S. ",Hitesh Kumar S.Makwana,Male,26.06.2002 ,06.06.2004,23
25 ,"Thiru. Shambhu Kallolikar, I.A.S. ",Shambhu Kallolikar,Male,14.02.2000 ,13.06.2002,27
24 ,Thiru. Chandrakanth B.Kamble. I.A.S. ,Chandrakanth B.Kamble.,Male,10.05.2000 ,11.12.2000,7
23 ,"Thiru. Harmander Singh, I.A.S. ",Harmander Singh,Male,29.04.1998 ,30.04.2000,24
22 ,"Thiru.K.Shanmugam, I.A.S. ",K.Shanmugam,Male,31.12.1996 ,21.04.1998,15
21 ,"Thiru.V.Kanagaraj, I.A.S. ",V.Kanagaraj,Male,01.06.1996 ,31.12.1996,6
20 ,"DR. V. Varaprasada Rao, I.A.S. ",V. Varaprasada Rao,Male,10.11.1994 ,31.05.1996,18
19 ,"Thiru. D. Chandrasekaran, I.A.S. ",D. Chandrasekaran,Male,27.01.1994 ,10.11.1994,9
18 ,"Thiru. Shashi Shekhar, I.A.S. ",Shashi Shekhar,Male,13.09.1993 ,26.01.1994,4
17 ,"Tmt. DR.Anuradha Khadi Rajivan, I.A.S. ",Anuradha Khadi Rajivan,Female,01.09.1992 ,06.09.1993,12
16 ,"Tmt. Sheela Rani Chunkath, I.A.S. ",Sheela Rani Chunkath,Female,02.12.1990 ,31.08.1992,20
15 ,"Thiru. M.Kutralingam, I.A.S. ",M.Kutralingam,Male,07.06.1989 ,01.12.1990,17
14 ,"Thiru.P.Selvam, I.A.S. ",P.Selvam,Male,22.04.1988 ,06.06.1989,13
13 ,"Thiru.K.Elangovan, I.A.S. ",K.Elangovan,Male,11.05.1987 ,20.04.1988,11
12 ,"Thiru. L.Palamalai, I.A.S. ",L.Palamalai,Male,28.04.1986 ,09.05.1987,12
11 ,"Thiru. Brijeswar Singh, I.A.S. ",Brijeswar Singh,Male,08.02.1985 ,26.03.1986,13
10 ,"Thiru. R.Karpoorasundarapandian, I.A.S. ",R.Karpoorasundarapandian,Male,01.08.1983 ,08.02.1985,18
9 ,"Thiru. M.A.Gowrishankar, I.A.S. ",M.A.Gowrishankar,Male,27.07.1982 ,29.07.1983,12
8 ,"Thiru. S.T.Kasirajan, I.A.S. ",S.T.Kasirajan,Male,28.03.1981 ,27.07.1982,15
7 ,"Thiru. Ashok Kumar Rastogi, I.A.S. ",Ashok Kumar Rastogi,Male,18.04.1980 ,27.03.1981,11
6 ,"Thiru. A.K. Vijayabanu, I.A.S. ",A.K. Vijayabanu,Male,03.05.1978 ,17.04.1980,23
5 ,"Thiru. D.Murugaraj, I.A.S. ",D.Murugaraj,Male,25.04.1977 ,26.04.1978,12
4 ,"Thiru. A. Balraj, I.A.S. ",A. Balraj,Male,11.03.1976 ,24.04.1977,13
3 ,"Thiru. S.Narasimhan, I.A.S. ",S.Narasimhan,Male,05.02.1975 ,10.03.1976,13
2 ,"Thiru. M. Mayilvahanan, I.A.S. ",M. Mayilvahanan,Male,17.04.1974 ,04.02.1975,9
1 ,"Thiru. C.Ramdoss, I.A.S. ",C.Ramdoss,Male,14.01.1974 ,16.04.1974,3
