#C. Arun Pandian, R. Santhi , R. Sundarrajan,T. Sureshkukar , K. Tamil Azhagan , K. Pandiarajan , S. Michael Rayappan , Kalai Arasu ,A. Ramasamy resigned on 21st February 2016
Const. No.,Constituency Name,District,Member Name,Party,Notes,Minister
1,Gummidipoondi,Tiruvallur,C.H. Sekar,DMDK
2,Ponneri (SC),Tiruvallur,Pon. Raja,AIADMK
3,Tiruttani,Tiruvallur,Vacant,
4,Tiruvallur,Tiruvallur,B.V. Ramanaa,AIADMK,,Minister Commercial Taxes
5,Poonamalee (SC),Tiruvallur,R. Manimaran,AIADMK
6,Avadi,Tiruvallur,S. Abdul Rahim,AIADMK,,Minister Backward Classes and Minorities Welfare
7,Maduravoyal,Tiruvallur,G. Beem Rao,CPI(M)
8,Ambattur,Tiruvallur,S. Vedachalam,AIADMK
9,Madhavaram,Tiruvallur,V. Moorthy,AIADMK,,Minister Milk and Dairy Development
10,Thiruvottiyur,Tiruvallur,K. Kuppan,AIADMK
11,Dr. Radhakrishnan Nagar,Chennai,Selvi J Jayalalithaa,AIADMK,Bye-election due to resignation of P.Vetrivel on 17th May 2015,"Chief Minister, Prohibition and Excise Department, Public Department"
12,Perambur,Chennai,A. Soundararajan,CPI(M)
13,Kolathur,Chennai,M.K. Stalin,DMK
14,Villivakkam,Chennai,J.C.D. Prabhakar,AIADMK
15,Thiru Vi.Ka.Nagar (SC),Chennai,V. Neelakandan,AIADMK
16,Egmore (SC),Chennai,K. Nallathambi,DMDK
17,Royapuram,Chennai,D. Jayakumar,AIADMK
18,Harbour,Chennai,Vacant,,Pala. Karuppiah resigned on 28th January 2016
19,Chepauk-Thiruvallikeni,Chennai,J. Anbazhagan,DMK
20,Thousand Light,Chennai,B. Valarmathi,AIADMK
21,Anna Nagar,Chennai,S. Gokula Indira,AIADMK
22,Virugampakkam,Chennai,B. Parthasarathy,DMDK
23,Saidapet,Chennai,G. Senthamizhan,AIADMK
24,Thiyagaraya Nagar,Chennai,V.P. Kaiairajan,AIADMK
25,Mylapore,Chennai,R. Rajalakshmi,AIADMK
26,Velachery,Chennai,M.K. Ashok,AIADMK
27,Shozhinganallur,Kancheepuram,K.P. Kandan,AIADMK
28,Alandur,Kancheepuram,V.N.P. Venkatraman,AIADMK,Bye-election due to resignation of S.Ramachandran on 10th December 2013
29,Sriperumbudur (SC),Kancheepuram,R. Perumal,AIADMK
30,Pallavaram,Kancheepuram,P. Dhansingh,AIADMK
31,Tambaram,Kancheepuram,T.K.M.Chinneyah,AIADMK,,Minister Animal Husbandry
32,Chengalpattu,Kancheepuram,D. Murugesan,DMDK
33,Thiruporur,Kancheepuram,K. Manoharan,AIADMK
34,Cheyyar (SC),Kancheepuram,V.S. Raji,AIADMK
35,Madurantakam (SC),Kancheepuram,S. Kanitha Sampath,AIADMK
36,Uthiramerur,Kancheepuram,P. Ganesan,AIADMK
37,Kancheepuram,Kancheepuram,V. Somasundaram,AIADMK
38,Arakkonam,Vellore,S. Ravi,AIADMK
39,Sholingur,Vellore,P.R. Manogar,DMDK
40,Katpadi,Vellore,Duraimurugan,DMK
41,Ranipet,Vellore,A. Mohammedjan,AIADMK
42,Arcot,Vellore,R. Srinivasan,AIADMK
43,Vellore,Vellore,V.S. Vijay,AIADMK
44,Anaikattu,Vellore,Vacant,
45,Kilvaithinankuppam (SC),Vellore,C.K. Thamizharasan,AIADMK
46,Gudiyatham (SC),Vellore,K. Lingamuthu,(CPI)
47,Vaniyambadi,Vellore,Govi. Sampath Kumar,AIADMK
48,Ambur,Vellore,A. Aslam Basha,MMK
49,Jolarpet,Vellore,K.C. Veeramani,AIADMK,,Minister Health
50,Tirupattur,Vellore,K.G. Ramesh,AIADMK
51,Uthangarai (SC),Krishnagiri,Manoranjitham,AIADMK
52,Bargur,Krishnagiri,K.E. Krishnamoorthy,AIADMK
53,Krishnagiri,Krishnagiri,K.P. Munusamy,AIADMK,,"Municipal Administration,Rural Development,Law,Courts and Prisons"
54,Veppanahalli,Krishnagiri,T. Senguttuvan,DMK
55,Hosur,Krishnagiri,K. Gopinath,INC
56,Thalli,Krishnagiri,T. Ramachandiran,CPI
57,Palacode,Dharmapuri,K.P. Anbalagan,AIADMK
58,Pennagaram,Dharmapuri,N. Nanjappan,CPI
59,Dharmapuri,Dharmapuri,A. Baskar,DMDK
60,Pappireddipatti,Dharmapuri,P. Palaniappan,AIADMK,,"Minister Higher Education, School Education, Sports and Youth Welfare, Tamil Official Language and Tamil Culture"
61,Harur,Dharmapuri,P. Dillibabu,CPI(M)
62,Chengam (SC),Tiruvannamalai,Vacant,
63,Thiruvannamalai,Thiruvannamalai,E.V. Velu,DMK
64,Kilpennathur,Tiruvannamalai,A.K. Aranganathan,AIADMK
65,Kalasapakkam,Tiruvannamalai,Agri. S.S. Krishnamoorthy,AIADMK
66,Polur,Tiruvannamalai,L. Jayasudha,AIADMK
67,Arani,Tiruvannamalai,R.M. Babu Murugavel,DMDK
68,Cheyyar,Tiruvannamalai,N. Subramanian,AIADMK,,Minister for Adi Dravidar and Tribal Welfare 
69,Vandavasi (SC),Tiruvannamalai,V. Gunaseelan,AIADMK
70,Gingee,Villupuram,A. Ganeshkumar,PMK
71,Mailam,Villupuram,K.P. Nagarajan,AIADMK
72,Tindivanam (SC),Villupuram,D. Haridoss,AIADMK
73,Vanur (SC),Villupuram,I. Janakiraman,AIADMK
74,Villupuram,Villupuram,C.Ve. Shanmugam,AIADMK
75,Vikkiravandi,Villupuram,R. Ramamurthy,CPI(M)
76,Tirukoilur,Villupuram,L. Venkatesan,DMDK
77,Ulundurpet,Villupuram,R. Kumaraguru,AIADMK
78,Rishivanthiyam,Villupuram,Vijayakant,DMDK
79,Sankarapuram,Villupuram,P. Mohan,AIADMK,,"Minister Micro, Small and Medium Enterprises Department"
80,Kallakurichi (SC),Villupuram,K. Alaguvelu,AIADMK
81,Gangavalli (AC),Salem District,R. Subha,DMDK
82,Attur,Salem,S. Madheswaran,AIADMK
83,Yercaud (ST),Salem,P. Saroja,AIADMK,Bye-election due to demise of C. Perumal (on 18.7.2013)
84,Omalur,Salem,C. Krishnan,AIADMK
85,Mettur,Salem,S.R. Parthiban,DMDK
86,Edappadi,Salem,Edappadi K. Palaniswami,AIADMK,,Minister Highways And Minor Ports
87,Sankagiri,Salem,P. Vijayalakshmi Palanisamy,AIADMK
88,Salem (West),Salem,G. Venkatachalam,AIADMK,,Minister of Revenue
89,Salem (North),Salem,Alagaapuram R. Mohan Raj,DMDK
90,Salem (South),Salem,M.K. Selvaraju,AIADMK
91,Veerapandi,Salem,S.K. Selvam,AIADMK
92,Rasipuram (SC),Namakkal,P. Dhanapal,AIADMK
93,Senthamangalam (ST),Namakkal,Vacant,
94,Namakkal,Namakkal,K.P.P. Baskar,AIADMK
95,Paramathi Velur,Namakkal,U. Thaniyarasu,AIADMK
96,Tiruchengodu,Namakkal,P. Sampathkumar,DMDK
97,Kumarapalayam,Namakkal,P. Thangamani,AIADMK,,Minister Industries
98,Erode (East),Erode,V.C. Chandhirakumar,DMDK
99,Erode (West),Erode,K.V. Ramalingam,AIADMK,,Minister Public Works
100,Modakkurichi,Erode,R.N. Kittusamy,AIADMK
101,Dharapuram (SC),Tiruppur,K. Ponnusamy,AIADMK
102,Kangeyam,Tiruppur,NSN. Nataraj,AIADMK
