# Dept of Prohabition - Liquor Excise/VAT contribution to TN Revenue Receipts - Amts in Crore
#source - https://twitter.com/DennisJesudasan/status/1258781106414981122
Year,Excise,VAT(Sales Tax),Total
2003-2004,1657.10,1982.83,3639.93
2004-2005,2549.00,2323.03,4872.03
2005-2006,3176.65,2854.12,6030.77
2006-2007,3986.41,3487.2,7473.61
2007-2008,4764.05,4057.11,8821.16
2008-2009,5755.42,4846.08,10601.5
2009-2010,6740.59,5757.63,12498.22
2010-2011,8115.9,6849.52,14965.42
2011-2012,9956.06,8125.10,18081.16
2012-2013,12125.31,9555.36,21680.67
2013-2014,5034.82,16640.07,21674.89
2014-2015,5731.18,18433.77,24164.95
2015-2016,5836.01,20009.57,25845.58
2016-2017,6248.17,20747.08,26995.25
2017-2018,6009.25,20788.71,26797.96
2018-2019,6836.11,24294.72,31157.93
