Dept,Category,name,downloadlink
Adi Dravidar and Tribal Welfare,Government To Citizen,Full Time Ph.D Scholars incentive Scheme 2019-20,http://cms.tn.gov.in/sites/default/files/forms/PhD_application_form_2019_2020.pdf'
Adi Dravidar and Tribal Welfare,Government To Citizen,Overseas Scholarship Application Form,http://cms.tn.gov.in/sites/default/files/forms/overseas_scholarship_application.pdf'
Agriculture,Government To Business,Application for Grant of Licence to Sell-stock-Exhibit-Distribute Insecticides - (form VI),http://cms.tn.gov.in/sites/default/files/forms/Agri_Ins_VI_0.pdf'
Agriculture,Government To Business,Application for Renewal of Grant of Licence to Sell-Stock-Exhibit-Distribute Insecticides - (form VII),http://cms.tn.gov.in/sites/default/files/forms/Agri_Ins_VII_0.pdf'
Agriculture,Government To Business,Application for Renewal of Licence to Manufacture Insecticides - (form-IV),http://cms.tn.gov.in/sites/default/files/forms/Agri_Ins_IV_0.pdf'
Agriculture,Government To Business,"Application for Renewal of the Certificate of Registration - Fertilizers (form C, D, E)",http://cms.tn.gov.in/sites/default/files/forms/Agri_Form_C_0.pdf'
Agriculture,Government To Business,Application to Obtain Dealers Certificate of Registration - Fertilizers (form A),http://cms.tn.gov.in/sites/default/files/forms/Agri_Form_A_2_0.pdf'
Agriculture,Government To Citizen,"Application for Registration of Insecticides - (form I, III)",http://cms.tn.gov.in/sites/default/files/forms/Agri_Ins_I_III_0.pdf'
"BC, MBC &  Minorities Welfare",Government To Citizen,Tamil Nadu Wakf Board Election Form-I,http://cms.tn.gov.in/sites/default/files/forms/TN_Waqf_Board_Election_Nomination_Form.pdf'
"Co-operation, Food and Consumer Protection",Government To Business,Application for grant of wholesale-retail licence - Essential Trade Articles (Form A),http://cms.tn.gov.in/sites/default/files/forms/cfcp_Form_A_0.pdf'
"Co-operation, Food and Consumer Protection",Government To Business,Application for registration or renewal for registration as a retailer in Kerosene Form III),http://cms.tn.gov.in/sites/default/files/forms/cfcp_Form_III_0.pdf'
"Co-operation, Food and Consumer Protection",Government To Business,Application for renewal of wholesale-retail licence - Essential Trade Article (Form B),http://cms.tn.gov.in/sites/default/files/forms/cfcp_Form_B_0.pdf'
"Co-operation, Food and Consumer Protection",Government To Business,Application for wholesale-retail licence including renewal - Sugar Trade (Form A - Schedule),http://cms.tn.gov.in/sites/default/files/forms/cfcp_FormA_Sch_0.pdf'
"Co-operation, Food and Consumer Protection",Government To Business,Form of Application for licence as a wholesaler in Kerosene (Form I),http://cms.tn.gov.in/sites/default/files/forms/cfcp_Form_I_0.pdf'
"Co-operation, Food and Consumer Protection",Government To Citizen,Application format for Tatkal family cards (Cards for residential proof purpose only),http://cms.tn.gov.in/sites/default/files/forms/Resiproof_e_appln_0.pdf'
"Co-operation, Food and Consumer Protection",Government To Citizen,Application form for acquiring Ration Card in Tamil Nadu,http://cms.tn.gov.in/sites/default/files/forms/ration_0.pdf'
Commercial Taxes and Registration,Government To Business,"Regn. as Dealer ( Form D, Amendments )",http://cms.tn.gov.in/sites/default/files/forms/Reg_Dealer_Form_D.pdf'
Commercial Taxes and Registration,Government To Business,Regn. under Central Sales Tax ( Form 1-A ),http://cms.tn.gov.in/sites/default/files/forms/Reg_CST_Form_1A.pdf'
Commercial Taxes and Registration,Government To Business,Regn. under Central Sales Tax ( Form 5 ),http://cms.tn.gov.in/sites/default/files/forms/CST_Form_5.pdf'
Commercial Taxes and Registration,Government To Business,Regn. under Central Sales Tax ( Form 6 ),http://cms.tn.gov.in/sites/default/files/forms/CST_Form_6.pdf'
Commercial Taxes and Registration,Government To Business,Regn. under Central Sales Tax ( Form A ),http://cms.tn.gov.in/sites/default/files/forms/Reg_CST_Form_A_0.pdf'
Commercial Taxes and Registration,Government To Business,Tamil Nadu General Sales Tax Rules Form ( Form A),http://cms.tn.gov.in/sites/default/files/forms/Form-A.pdf'
Commercial Taxes and Registration,Government To Business,"Tamil Nadu General Sales Tax Rules Form ( Form A-1, Appendix I to XII)",http://cms.tn.gov.in/sites/default/files/forms/forma1tngst_0.pdf'
Commercial Taxes and Registration,Government To Business,Tamil Nadu General Sales Tax Rules Form ( Form IX),http://cms.tn.gov.in/sites/default/files/forms/Form-IX_0.pdf'
Commercial Taxes and Registration,Government To Business,Tamil Nadu General Sales Tax Rules Form ( Form XI),http://cms.tn.gov.in/sites/default/files/forms/Form-XI_0.pdf'
Commercial Taxes and Registration,Government To Citizen,Application for Grant of Extract of Hindu Marriage Register,http://cms.tn.gov.in/sites/default/files/forms/appln4.pdf'
Commercial Taxes and Registration,Government To Citizen,Application for obtaining certified copy of marriage registration,http://cms.tn.gov.in/sites/default/files/forms/Comp_Marriage_Forms_Eng_7_0.pdf'
Commercial Taxes and Registration,Government To Citizen,Application for Payment of Deficit Stamp Duty of indian stamp duty under Sec 41,http://cms.tn.gov.in/sites/default/files/forms/Sec41fn.pdf'
Commercial Taxes and Registration,Government To Citizen,Application for Registration of Firm under Indian Partnership Act,http://cms.tn.gov.in/sites/default/files/forms/appln14_0.pdf'
Commercial Taxes and Registration,Government To Citizen,Application for Registration of Hindu Marriage,http://cms.tn.gov.in/sites/default/files/forms/appln3.pdf'
Commercial Taxes and Registration,Government To Citizen,Application for Registration of Hindu Marriage at private residence,http://cms.tn.gov.in/sites/default/files/forms/appln5_0.pdf'
Commercial Taxes and Registration,Government To Citizen,Application for registration of marriage on the day of marriage - Form 1A,http://cms.tn.gov.in/sites/default/files/forms/appln6_0.pdf'
Commercial Taxes and Registration,Government To Citizen,Application for registration of Special Marriage - notice of intended marriage,http://cms.tn.gov.in/sites/default/files/forms/appln8.pdf'
Commercial Taxes and Registration,Government To Citizen,Application for Special Marriage Declaration by bride and bridegroom,http://cms.tn.gov.in/sites/default/files/forms/appln9_0.pdf'
Commercial Taxes and Registration,Government To Citizen,Christian Marriage Certificate Application Form,http://cms.tn.gov.in/sites/default/files/forms/ChristianMarriage_Appln_Eng.pdf'
Commercial Taxes and Registration,Government To Citizen,Declaration where the marriage is registered on the date of solemnisation,http://cms.tn.gov.in/sites/default/files/forms/appln7_0.pdf'
Commercial Taxes and Registration,Government To Citizen,Form for notice of ch ange in Registered members,http://cms.tn.gov.in/sites/default/files/forms/appln13_0.pdf'
Commercial Taxes and Registration,Government To Citizen,Memorandum for Registration of Marriage,http://cms.tn.gov.in/sites/default/files/forms/Comp_Marriage_application_ENG.pdf'
Commercial Taxes and Registration,Government To Citizen,"Memorandum for Registration of Marriage, Form IA",http://cms.tn.gov.in/sites/default/files/forms/FORM 1A_ENG.pdf'
Commercial Taxes and Registration,Government To Citizen,Register of members to be maintained under Registration of Societies,http://cms.tn.gov.in/sites/default/files/forms/appln12_0.pdf'
Commercial Taxes and Registration,Government To Citizen,Registration of Societies Form-I,http://cms.tn.gov.in/sites/default/files/forms/appln10_0.pdf'
Commercial Taxes and Registration,Government To Citizen,Societies Registration Form-II - notice of situation of registered office,http://cms.tn.gov.in/sites/default/files/forms/appln11.pdf'
Commercial Taxes and Registration,Government To Citizen,"Annexure 1-A, Market value of properties,buildings to be furnished",http://cms.tn.gov.in/sites/default/files/forms/appln2.pdf'
Commercial Taxes and Registration,Government To Citizen,Application for Encumbrance Certificate,http://cms.tn.gov.in/sites/default/files/forms/appln1.pdf'
Energy,Government To Citizen,Application for H.T. Service Connections (Including Additional Load).,http://cms.tn.gov.in/sites/default/files/forms/HT_service.pdf'
Energy,Government To Citizen,Application Form for Agriculture Service connection,http://cms.tn.gov.in/sites/default/files/forms/agri_connection.pdf'
Energy,Government To Citizen,Application form for Hut service,http://cms.tn.gov.in/sites/default/files/forms/hut_service_0.pdf'
Energy,Government To Citizen,Application Form for L.T (low tension) Service Connection (except Agriculture),http://cms.tn.gov.in/sites/default/files/forms/LTservice_0.pdf'
Energy,Government To Citizen,High Tension Agreement,http://cms.tn.gov.in/sites/default/files/forms/LT_agreement.pdf'
Energy,Government To Citizen,Indemnity Bond for the consumer without consent letter from owner,http://cms.tn.gov.in/sites/default/files/forms/Deed_without_consent_0.pdf'
Energy,Government To Citizen,Low tension Agreement for Industrial - Agricultural Services,http://cms.tn.gov.in/sites/default/files/forms/LT_agreement_0.pdf'
Energy,Government To Citizen,Name Transfer Forms,http://cms.tn.gov.in/sites/default/files/forms/name_transfer.pdf'
Energy,Government To Citizen,Owners Consent Letter,http://cms.tn.gov.in/sites/default/files/forms/owner_letter_0.pdf'
Environment and Forests,Government To Citizen,Application for Consent under Water Act,http://cms.tn.gov.in/sites/default/files/forms/Water_appln.pdf'
Environment and Forests,http://cms.tn.gov.in/sites/default/files/forms/Air_appln.pdf',,Application for Consent under Air Act
Finance,Government To Employee,Application form for New Health Insurance Scheme,http://cms.tn.gov.in/sites/default/files/forms/health_insurance_0.pdf'
